Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,sentiment
"RT @GuciMarbawi: @msaid_didu Program lapor mas wapres adalah program pembodohan rakyat yg dilakukan oleh orang bodoh yg merasa sok2 pintar,…",@MardianahA17345,2024-11-14 03:13:57,in,,0,2,,Mardiono suhe.,cukup pake tweetter brita2 aneh nyleneh ada disini,6791,458,271,0,False,,,8.33333
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@deamstka,2024-11-14 03:13:26,in,,0,3280,,Dea Mustika,,3228,306,212,0,False,,,7.14286
"RT @PngAdilnR4kyt: KANAL LAPOR MAS WAPRES ADALAH AKAL-AKALAN SI FUFUFAFA AGAR PENGEN NONGOL TERUS DI MEDIA, BIAR KELIHATAN EKSIS....

KOCAK…",@pejuangkantin99,2024-11-14 03:12:54,in,,0,324,,Pejuangkantin,Pejuang kantin SD,50380,480,424,0,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@spiwny,2024-11-14 03:12:46,in,,0,3280,,ً,"i love talking to myself, she gets me",10542,53,20,0,False,,,7.14286
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@na_yuu_ta,2024-11-14 03:12:38,in,,0,2058,,𝙉𝙖𝙣𝙖 ଘ(੭ˊᵕˋ)੭* ੈ✩‧˚,𝐌𝐔𝐋𝐅𝐀𝐍 𝐁𝐀𝐍𝐆𝐄𝐓 (づ ￣ ³￣)づ 𝐙𝐁𝟏 𝐎𝐓𝟗 • 𝐃𝐈𝐓𝐓𝐎 • 𝐇𝐚 𝐉𝐞𝐨𝐧𝐠𝐰𝐨𝐨 • 𝐍𝐂𝐓 • 𝐖𝐨𝐧𝐩𝐢𝐥 𝐌𝐚𝐧𝐢𝐚  • 𝐇𝐲𝐮𝐧𝐣𝐢𝐧 𝐏𝐫𝐢𝐧𝐜𝐞,73854,1469,965,5,False,,,13.3333
"RT @pakmul63: Waduuh bisa banjir laporan di kantor mas wapres ini.

Tebak-tebakan:
“Lapor Mas Wapres” ditutup pasca Prabowo pulang dari LN.…",@Elhami235711,2024-11-14 03:12:35,in,,0,28,,Elhami,I am a human being Sacrificed for اللٌه,19719,1194,386,0,False,,,0
"RT @mawakresna: Layanan Lapor Mas Wapres itu cuma gimmick, karena sebenarnya udah ada Ombudsman yang fungsinya kurang lebih sama. 

Laporan…",@toddysolo79,2024-11-14 03:11:56,in,,0,299,,Kurnia,"Pembaca Buku, Pekerja Keras & Suka bersosialisasi

INDONESIA 🇮🇩, I LOVE YOU 💝",12508,3923,2055,1,False,,,10
"RT @msaid_didu: Sengketa pisang.
Ada yg mau lapor ke layanan Lapor Mas Wapres https://t.co/vKJCx50sDR",@Raju71716287,2024-11-14 03:11:55,in,,0,62,,Raju Musba,,18893,351,144,0,False,,,12.5
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@putusayangg,2024-11-14 03:11:48,in,,0,3280,,Charyn,ISTP 🍙. Don’t follow. I talk to myself too much,187158,1653,1030,6,False,,,7.14286
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@akunalterub,2024-11-14 03:11:38,in,,0,305,,Eiden.,alter ego.,3729,434,242,0,False,,,0
"RT @abu_waras: Lambe Waras: Layanan ""Lapor Mas Wapres""  Kebijakan Layanan Yang Bisa Dijalankan Di Level Kelurahan. https://t.co/kq4VWA69Zd",@AbiTsuraya,2024-11-14 03:11:27,in,,0,661,,Abi,Pengharap ridho ALLAH SWT,22187,1310,1185,3,False,,,16.6667
"RT @pakmul63: Waduuh bisa banjir laporan di kantor mas wapres ini.

Tebak-tebakan:
“Lapor Mas Wapres” ditutup pasca Prabowo pulang dari LN.…",@harissp32,2024-11-14 03:11:27,in,,0,28,,Abdul Harissp32,orang biasa yang ingin melihat dan merasakan sendiri indonesia maju gemah ripah loh jinawi,46057,215,359,0,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@winsuncream,2024-11-14 03:11:11,in,,0,3280,,W,"80% SBT ACC
Mostly looking for
Winwin Yangyang
INTO1 Lin Mo
GMM artists esp Tay Singto Ford",23630,678,154,0,False,,,7.14286
"RT @Cendana_20: BUMERANG
LAPOR MAS WAPRES
KEJAHATAN BPK JOKOWI SELAMA 10 TH
#LaporkanJokowiKeMasWapres 
#LaporkanJokowiKeMasWapres 
BAHWA J…",@UdaBroo,2024-11-14 03:11:08,in,,0,233,,Mas Bro,,16271,1029,72,0,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@Oedjhie2,2024-11-14 03:10:47,in,,0,3280,,🇮🇩🤘 Kebul Damri 97👆🏴,"Demen Re-tweet yang masih waras, dan berakal sehat..!",82079,2147,835,0,False,,,7.14286
"@NenkMonica ""Lapor Mas Wapres @gibran_tweet, WC tetangga sebelam mampet"".",@CecepLagi,2024-11-14 03:10:41,in,,1,0,@NenkMonica,Puja Kelam,Putera Jawa Kelahiran Lampung,56545,921,1016,0,False,,,12.5
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@EKubang,2024-11-14 03:10:34,in,,0,2058,,Hamba Allah,,30852,544,445,0,False,,,13.3333
"Reza Indragiri tanya:
Apa benar kata Roy Suryo: akun Fufufafa milik Gibran anaknya Joko Widodo

Layanan Lapor Wapres jawab:
Terimakasih atas laporan anda, kami akan SEGERA MERESPON LAPORAN ANDA

Respon ditunggu 1x24 jam

Prabowo Subianto
Gerindra
DPR RI
https://t.co/XpDMyamBQ6",@Mat16_16,2024-11-14 03:10:32,in,,0,0,,💕 INRI,"o Maria,
concepta sine peccato
ora pro nobis qui ad te confugimus",9931,0,60,0,False,,,-3.84615
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@thisisdee_,2024-11-14 03:10:27,in,,0,3280,,유디라 아싷,"I believe that the sun will replace the haze, and there will be light after the darkness, and I believe in love.",37641,461,312,4,False,,,7.14286
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@anggagrab7,2024-11-14 03:10:08,in,,0,3280,,Anak Magang,udah biasa,32,7,1,0,False,,,7.14286
