Kecamatan,Tahun,Long,Lat,Intercept,X1_fe,X2_fe,X3_fe,X5_fe,y,yhat,residual,CV_Score,Stud_residual,Intercept_SE,X1_fe_SE,X2_fe_SE,X3_fe_SE,X5_fe_SE,Intercept_TV,X1_fe_TV,X2_fe_TV,X3_fe_TV,X5_fe_TV,Local_R2,coords.x1,coords.x2,optional,Intercept_p_p,X1_fe_p_p,X2_fe_p_p,X3_fe_p_p,X5_fe_p_p,ket.Kepadatan,ket.SIM_C,ket.SIM_A,ket.Macet
Tambora,2024,106.803,-6.147,1.19E-16,5.167522705,-0.304527694,-1.478678818,6.257831467,0.369413866,1.603738443,-1.234324576,0,-0.622380356,0.503682038,5.813517587,0.767891863,1.008988557,2.416842029,2.37E-16,0.888880549,-0.396576274,-1.465506033,2.589259617,0.779749671,106.803,-6.147,TRUE,1,0.376,0.693,0.146,0.011,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Tambora,2022,106.803,-6.147,1.19E-16,5.167522705,-0.304527694,-1.478678818,6.257831467,1.477655465,2.121368597,-0.643713132,0,-0.3140959,0.503682038,5.813517587,0.767891863,1.008988557,2.416842029,2.37E-16,0.888880549,-0.396576274,-1.465506033,2.589259617,0.779749671,106.803,-6.147,TRUE,1,0.376,0.693,0.146,0.011,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Tambora,2023,106.803,-6.147,1.19E-16,5.167522705,-0.304527694,-1.478678818,6.257831467,4.248259463,2.074568508,2.173690955,0,0.928267537,0.503682038,5.813517587,0.767891863,1.008988557,2.416842029,2.37E-16,0.888880549,-0.396576274,-1.465506033,2.589259617,0.779749671,106.803,-6.147,TRUE,1,0.376,0.693,0.146,0.011,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Tambora,2021,106.803,-6.147,1.19E-16,5.167522705,-0.304527694,-1.478678818,6.257831467,-3.878845597,-3.718294766,-0.160550831,0,-0.1065132,0.503682038,5.813517587,0.767891863,1.008988557,2.416842029,2.37E-16,0.888880549,-0.396576274,-1.465506033,2.589259617,0.779749671,106.803,-6.147,TRUE,1,0.376,0.693,0.146,0.011,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Tambora,2020,106.803,-6.147,1.19E-16,5.167522705,-0.304527694,-1.478678818,6.257831467,-2.216483198,-2.081380781,-0.135102417,0,-0.096675121,0.503682038,5.813517587,0.767891863,1.008988557,2.416842029,2.37E-16,0.888880549,-0.396576274,-1.465506033,2.589259617,0.779749671,106.803,-6.147,TRUE,1,0.376,0.693,0.146,0.011,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Cengkareng,2020,106.737,-6.151,-3.83E-16,4.912785226,0.592925392,0.192432499,6.853300614,-1.275461197,-0.708851899,-0.566609298,0,-0.387864386,0.825093898,23.41525378,1.180467275,1.822206194,4.808276309,-4.65E-16,0.209811317,0.502280245,0.10560413,1.425313392,0.741703951,106.737,-6.151,TRUE,1,0.834,0.617,0.916,0.157,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Cengkareng,2023,106.737,-6.151,-3.83E-16,4.912785226,0.592925392,0.192432499,6.853300614,0.979927505,0.734064767,0.245862738,0,0.131331879,0.825093898,23.41525378,1.180467275,1.822206194,4.808276309,-4.65E-16,0.209811317,0.502280245,0.10560413,1.425313392,0.741703951,106.737,-6.151,TRUE,1,0.834,0.617,0.916,0.157,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Cengkareng,2024,106.737,-6.151,-3.83E-16,4.912785226,0.592925392,0.192432499,6.853300614,1.602103699,0.865637776,0.736465923,0,0.353763192,0.825093898,23.41525378,1.180467275,1.822206194,4.808276309,-4.65E-16,0.209811317,0.502280245,0.10560413,1.425313392,0.741703951,106.737,-6.151,TRUE,1,0.834,0.617,0.916,0.157,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Cengkareng,2022,106.737,-6.151,-3.83E-16,4.912785226,0.592925392,0.192432499,6.853300614,0.746611432,-0.002713185,0.749324617,0,0.429518176,0.825093898,23.41525378,1.180467275,1.822206194,4.808276309,-4.65E-16,0.209811317,0.502280245,0.10560413,1.425313392,0.741703951,106.737,-6.151,TRUE,1,0.834,0.617,0.916,0.157,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Cengkareng,2021,106.737,-6.151,-3.83E-16,4.912785226,0.592925392,0.192432499,6.853300614,-2.053181439,-0.888137459,-1.165043979,0,-0.681994358,0.825093898,23.41525378,1.180467275,1.822206194,4.808276309,-4.65E-16,0.209811317,0.502280245,0.10560413,1.425313392,0.741703951,106.737,-6.151,TRUE,1,0.834,0.617,0.916,0.157,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Grogol Petamburan,2023,106.786,-6.163,1.97E-16,4.914123854,-0.398950215,-1.333649352,7.923650334,0.387782409,0.975568434,-0.587786025,0,-0.262063045,0.509275489,6.061746506,0.800236624,1.023460294,2.612828302,3.87E-16,0.810677888,-0.498540311,-1.303078742,3.03259511,0.863786945,106.786,-6.163,TRUE,1,0.42,0.619,0.196,0.003,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Grogol Petamburan,2024,106.786,-6.163,1.97E-16,4.914123854,-0.398950215,-1.333649352,7.923650334,2.972998471,2.168885293,0.804113179,0,0.379162192,0.509275489,6.061746506,0.800236624,1.023460294,2.612828302,3.87E-16,0.810677888,-0.498540311,-1.303078742,3.03259511,0.863786945,106.786,-6.163,TRUE,1,0.42,0.619,0.196,0.003,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Grogol Petamburan,2022,106.786,-6.163,1.97E-16,4.914123854,-0.398950215,-1.333649352,7.923650334,0.75709899,1.031370555,-0.274271565,0,-0.120370386,0.509275489,6.061746506,0.800236624,1.023460294,2.612828302,3.87E-16,0.810677888,-0.498540311,-1.303078742,3.03259511,0.863786945,106.786,-6.163,TRUE,1,0.42,0.619,0.196,0.003,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Grogol Petamburan,2021,106.786,-6.163,1.97E-16,4.914123854,-0.398950215,-1.333649352,7.923650334,-2.105104508,-2.256545957,0.151441449,0,0.073520139,0.509275489,6.061746506,0.800236624,1.023460294,2.612828302,3.87E-16,0.810677888,-0.498540311,-1.303078742,3.03259511,0.863786945,106.786,-6.163,TRUE,1,0.42,0.619,0.196,0.003,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Grogol Petamburan,2020,106.786,-6.163,1.97E-16,4.914123854,-0.398950215,-1.333649352,7.923650334,-2.012775363,-1.919278325,-0.093497038,0,-0.073654177,0.509275489,6.061746506,0.800236624,1.023460294,2.612828302,3.87E-16,0.810677888,-0.498540311,-1.303078742,3.03259511,0.863786945,106.786,-6.163,TRUE,1,0.42,0.619,0.196,0.003,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
